Client_ID	Покупатель
CL_01	"ООО ""Положение"" ИНН 7896913934"
CL_10001	"ООО ""Решительная скорость"" ИНН 96234274341"
CL_1001	"ООО ""Управление"" ИНН 66912194025"
CL_10011	"ПАО ""Час"" ИНН 13746866995"
CL_10021	"ООО ""Зал"" ИНН 84426324283"
CL_10031	"ООО ""Фактор"" ИНН 84921320774"
CL_10041	"ООО ""Правительство"" ИНН 39913231628"
CL_10051	"ПАО ""Массовый круг"" ИНН 61958913507"
CL_10061	"ООО ""Наибольшое право"" ИНН 7940585529"
CL_10071	"ООО ""Принцип"" ИНН 80799798921"
CL_10081	"ООО ""Ослепительная мысль"" ИНН 5311448154"
CL_10091	"ООО ""Отличный берег"" ИНН 82255220459"
CL_101	"ООО ""Статус"" ИНН 62137338446"
CL_10101	"ПАО ""Направление"" ИНН 51589412496"
CL_1011	"ООО ""Передача"" ИНН 20301614083"
CL_10111	"ООО ""Кадр"" ИНН 44055759530"
CL_10121	"ООО ""Возможность"" ИНН 77601680149"
CL_10131	"АО ""Массовый элемент"" ИНН 32710019355"
CL_10141	"АО ""Потрясающая информация"" ИНН 41796028252"
CL_10151	"ООО ""Убедительное управление"" ИНН 91990826013"
CL_10161	"ООО ""Интерес"" ИНН 22591366899"
CL_10171	"ООО ""Курс"" ИНН 75873620665"
CL_10181	"ООО ""Разработка"" ИНН 47357776047"
CL_10191	"ООО ""Вершина"" ИНН 95380017411"
CL_10201	"ООО ""Богатый магазин"" ИНН 51602701559"
CL_1021	"ООО ""Максимальная схема"" ИНН 4538288571"
CL_10211	"ООО ""Река"" ИНН 73129632334"
CL_10221	"ООО ""Личность"" ИНН 4258651945"
CL_10231	"АО ""Бесчисленное знание"" ИНН 9368367758"
CL_10241	"ООО ""Поразительная слава"" ИНН 48065844493"
CL_10251	"ООО ""Дерево"" ИНН 23837992911"
CL_10261	"ООО ""Основательная песня"" ИНН 82284311405"
CL_10271	"ООО ""Зеленый этаж"" ИНН 31809881077"
CL_10281	"ООО ""Прием"" ИНН 80107296916"
CL_10291	"ООО ""Этап"" ИНН 84747303827"
CL_10301	"АО ""Помощь"" ИНН 14603124541"
CL_1031	"ООО ""Форма"" ИНН 46866825651"
CL_10311	"ООО ""Истинный рынок"" ИНН 17640651181"
CL_10321	"ПАО ""Начало"" ИНН 55807584088"
CL_10331	"ООО ""Арктическое начало"" ИНН 79550901119"
CL_10341	"ООО ""Жизненный костюм"" ИНН 94231125853"
CL_10351	"ООО ""Искусство"" ИНН 53957209849"
CL_10361	"ООО ""Ремонт"" ИНН 9333421559"
CL_10371	"ООО ""Твердое основание"" ИНН 17690617998"
CL_10381	"ООО ""Ювелирная вода"" ИНН 50644026040"
CL_10391	"ООО ""Субъект"" ИНН 85117280758"
CL_10401	"ООО ""Надежный предмет"" ИНН 530834274"
CL_1041	"ООО ""След"" ИНН 52574924252"
CL_10411	"ООО ""Астрономическая крыша"" ИНН 72519519701"
CL_10421	"ООО ""Статус"" ИНН 76246761005"
CL_10431	"ООО ""Идея"" ИНН 46413991501"
CL_10441	"ООО ""Разговор"" ИНН 89677019282"
CL_10451	"ООО ""Поезд"" ИНН 37644185694"
CL_10461	"ООО ""Книга"" ИНН 41977305553"
CL_10471	"ООО ""Город"" ИНН 79402390640"
CL_10481	"ООО ""Компания"" ИНН 24104361279"
CL_10491	"ООО ""Крупное зрение"" ИНН 30625132427"
CL_10501	"ООО ""Отличное утро"" ИНН 76283905599"
CL_1051	"ПАО ""Настоящая реформа"" ИНН 24946103725"
CL_10511	"ООО ""Участие"" ИНН 63397768927"
CL_10521	"ООО ""Голос"" ИНН 79913712897"
CL_10531	"ООО ""Непобедимая величина"" ИНН 71403990015"
CL_10541	"ООО ""Богатырский самолет"" ИНН 74842078010"
CL_10551	"АО ""Космическое действие"" ИНН 6547015603"
CL_10561	"ООО ""Фантастический дом"" ИНН 57326469708"
CL_10571	"ООО ""Подлинное условие"" ИНН 86894569902"
CL_10581	"ООО ""Незаурядный ресурс"" ИНН 38793609289"
CL_10591	"ООО ""Труд"" ИНН 82913518964"
CL_10601	"ООО ""Бесценная проблема"" ИНН 61169529789"
CL_1061	"АО ""Дом"" ИНН 58758149617"
CL_10611	"ООО ""Песня"" ИНН 30534398082"
CL_10621	"ООО ""Час"" ИНН 76558307330"
CL_10631	"АО ""Граница"" ИНН 36588085707"
CL_10641	"ООО ""Игра"" ИНН 73764996816"
CL_10651	"ООО ""Редкий вид"" ИНН 64416189630"
CL_10661	"АО ""Бурная трава"" ИНН 97892907130"
CL_10671	"ООО ""Густое предложение"" ИНН 19278955551"
